,Unnamed: 0,vol,is_vol_outliers
0,0,112.0,0
1,1,118.0,0
2,2,132.0,0
3,3,129.0,0
4,4,121.0,0
5,5,135.0,0
6,6,148.0,0
7,7,148.0,0
8,8,136.0,0
9,9,119.0,0
10,10,104.0,1
11,11,118.0,0
12,12,115.0,1
13,13,126.0,0
14,14,141.0,1
15,15,135.0,0
16,16,125.0,0
17,17,149.0,1
18,18,170.0,1
19,19,170.0,1
20,20,158.0,1
21,21,133.0,0
22,22,114.0,1
23,23,140.0,0
24,24,145.0,0
25,25,150.0,0
26,26,178.0,1
27,27,163.0,0
28,28,172.0,1
29,29,178.0,1
30,30,199.0,1
31,31,199.0,1
32,32,184.0,0
33,33,162.0,0
34,34,146.0,1
35,35,166.0,0
36,36,171.0,0
37,37,180.0,0
38,38,193.0,1
39,39,181.0,0
40,40,183.0,0
41,41,218.0,1
42,42,230.0,1
43,43,242.0,1
44,44,209.0,0
45,45,191.0,0
46,46,172.0,1
47,47,194.0,0
48,48,196.0,0
49,49,196.0,0
50,50,236.0,1
51,51,235.0,1
52,52,229.0,0
53,53,243.0,1
54,54,264.0,1
55,55,272.0,1
56,56,237.0,0
57,57,211.0,0
58,58,180.0,1
59,59,201.0,1
60,60,204.0,1
61,61,188.0,1
62,62,235.0,0
63,63,227.0,0
64,64,234.0,0
65,65,264.0,1
66,66,302.0,1
67,67,293.0,1
68,68,259.0,0
69,69,229.0,0
70,70,203.0,1
71,71,229.0,0
72,72,242.0,0
73,73,233.0,0
74,74,267.0,0
75,75,269.0,0
76,76,270.0,0
77,77,315.0,1
78,78,364.0,1
79,79,347.0,1
80,80,312.0,0
81,81,274.0,0
82,82,237.0,1
83,83,278.0,0
84,84,284.0,0
85,85,277.0,0
86,86,317.0,0
87,87,313.0,0
88,88,318.0,0
89,89,374.0,1
90,90,413.0,1
91,91,405.0,1
92,92,355.0,0
93,93,306.0,0
94,94,271.0,1
95,95,306.0,0
96,96,315.0,0
97,97,301.0,0
98,98,356.0,0
99,99,348.0,0
100,100,355.0,0
101,101,422.0,1
102,102,465.0,1
103,103,467.0,1
104,104,404.0,0
105,105,347.0,0
106,106,305.0,1
107,107,336.0,0
108,108,340.0,0
109,109,318.0,1
110,110,362.0,0
111,111,348.0,0
112,112,363.0,0
113,113,435.0,1
114,114,491.0,1
115,115,505.0,1
116,116,404.0,0
117,117,359.0,0
118,118,310.0,1
119,119,337.0,0
120,120,360.0,0
121,121,342.0,0
122,122,406.0,0
123,123,396.0,0
124,124,420.0,0
125,125,472.0,1
126,126,548.0,1
127,127,559.0,1
128,128,463.0,0
129,129,407.0,0
130,130,362.0,1
131,131,405.0,0
132,132,417.0,0
133,133,391.0,0
134,134,419.0,0
135,135,461.0,0
136,136,472.0,0
137,137,535.0,1
138,138,622.0,1
139,139,606.0,1
140,140,508.0,0
141,141,461.0,0
142,142,390.0,1
143,143,432.0,0
